Rk (score),Rk(PPG),Player,Age,MP,G,FG%,3P%,FT%,PPG,REB,AST,FG%z,3P%z,FT%z,PPGz,REBz,ASTz,eScore
25,14,Cam,20,26.7,58,0.384,0.332,0.802,10.5,3.7,1.5,-0.89,-0.01,0.52,0.49,0.25,-0.13,0.22
26,19,,20,16.5,30,0.412,0.33,0.698,9,4.1,1.2,-0.56,-0.03,-0.35,0.11,0.53,-0.38,-0.69
27,13,,25,29.1,7,0.388,0.308,0.75,11,3.3,1.1,-0.84,-0.26,0.08,0.62,-0.03,-0.47,-0.9
28,42,,26,20.9,13,0.46,0.348,0.6,5.3,4,2,0.01,0.16,-1.17,-0.83,0.46,0.28,-1.09
29,30,,24,16,31,0.392,0.26,0.968,6.4,3.1,0.7,-0.79,-0.76,1.9,-0.55,-0.17,-0.8,-1.17
30,40,,23,12.6,18,0.429,0.413,0.912,5.4,1.3,0.6,-0.36,0.83,1.43,-0.8,-1.44,-0.89,-1.22
31,46,,25,10.7,41,0.487,0.475,0.75,4.9,1.5,0.5,0.33,1.47,0.08,-0.93,-1.3,-0.97,-1.32
32,28,,29,17.4,60,0.421,0.335,0.74,6.6,3,1.4,-0.45,0.02,0,-0.5,-0.24,-0.22,-1.39
33,21,,20,22.4,57,0.333,0.279,0.798,8.8,2.1,2.4,-1.49,-0.56,0.48,0.06,-0.88,0.62,-1.77
34,41,,20,16,3,0.313,0.375,0.75,5.3,3.3,2,-1.73,0.43,0.08,-0.83,-0.03,0.28,-1.79
35,26,,23,11,9,0.453,0.278,0.786,7.1,1.1,2,-0.07,-0.57,0.38,-0.37,-1.58,0.28,-1.93
36,38,,19,18.5,61,0.394,0.348,0.694,5.6,4,0.7,-0.77,0.16,-0.38,-0.75,0.46,-0.8,-2.09
37,45,,22,8.8,33,0.401,0.346,0.909,4.9,0.9,0.8,-0.69,0.13,1.41,-0.93,-1.72,-0.72,-2.51
38,27,,20,22.8,36,0.394,0.297,0.792,6.8,2.3,0.8,-0.77,-0.37,0.43,-0.45,-0.74,-0.72,-2.61
39,44,,24,18.8,48,0.43,0.234,0.646,5,3.3,2,-0.35,-1.02,-0.79,-0.9,-0.03,0.28,-2.81
40,35,,21,12.6,47,0.368,0.346,0.676,5.7,1.8,1.9,-1.08,0.13,-0.53,-0.73,-1.09,0.2,-3.09
41,17,,20,23.9,63,0.404,0.299,0.462,9.2,3.4,1.7,-0.65,-0.35,-2.32,0.16,0.04,0.03,-3.09
42,29,,19,19.8,38,0.39,0.286,0.674,6.4,3.1,0.5,-0.82,-0.49,-0.55,-0.55,-0.17,-0.97,-3.55
43,48,Thybulle,22,19.8,65,0.423,0.357,0.61,4.7,1.6,1.2,-0.43,0.25,-1.09,-0.98,-1.23,-0.38,-3.86
44,49,,20,12.5,15,0.563,0.143,0.524,4.4,2.9,1.1,1.22,-1.97,-1.8,-1.06,-0.31,-0.47,-4.38
45,50,,21,12.7,56,0.518,0.135,0.569,4.3,3.5,0.9,0.69,-2.05,-1.43,-1.08,0.11,-0.64,-4.39
46,43,,21,14.2,43,0.701,,0.533,5.1,2.5,0.5,2.85,-3.45,-1.73,-0.88,-0.59,-0.97,-4.76
47,47,,22,11.3,4,0.35,0.2,0.75,4.8,1.3,1.8,-1.29,-1.38,0.08,-0.95,-1.44,0.12,-4.86
48,37,THT,19,13.5,6,0.467,0.308,0.5,5.7,1.2,1,0.09,-0.26,-2,-0.73,-1.51,-0.55,-4.96
49,34,,24,16.2,27,0.526,0,0.586,5.8,4,0.7,0.79,-3.45,-1.29,-0.7,0.46,-0.8,-4.99
50,32,,23,9,1,0.5,,,6,5,1,0.48,-3.45,-6.17,-0.65,1.16,-0.55,-9.18
,,,,,,,,,,,,,,,,,,
,,avg,,,,0.4593,0.333021277,0.740142857,8.566,3.346,1.66,,,,,,,
,,std.s,,,,0.084687481,0.096617689,0.119905692,3.948061265,1.422445437,1.196423241,,,,,,,
